Codigo; Nome; Email; Data; Cargo; Salario
1;João Gabriel Carvalho;danilo34@example.com;2020-09-23;Diretor;6989.99;
2;Thiago Correia;joao-gabriel48@example.net;2006-12-15;Diretor;5020.74;
3;Mirella Teixeira;ujesus@example.net;1994-10-08;Gerente;8483.44;
4;Pedro Henrique Costa;diogonunes@example.net;2016-11-17;Analista;9723.51;
5;Helena Azevedo;carolineda-mota@example.com;2007-03-02;Diretor;9765.60;
6;Mariane Cardoso;moreirarafaela@example.net;2004-10-17;Analista;7597.80;
7;Danilo Souza;ssilveira@example.com;1993-08-21;Diretor;7831.80;
8;Marina da Mota;maria-fernanda46@example.com;2000-11-03;Gerente;5509.98;
9;Vicente Santos;vda-conceicao@example.org;2010-12-17;Diretor;7789.75;
10;Melissa Vieira;vianagabriel@example.net;2003-08-08;Gerente;7234.25;
11;Lorenzo Cunha;esthercaldeira@example.com;1993-02-04;Diretor;7850.44;
12;Heloísa Souza;danilomoura@example.org;2007-07-25;Diretor;6581.49;
13;Marcela Ferreira;natalianascimento@example.org;2014-04-24;Gerente;8236.22;
14;Davi Rodrigues;renanfreitas@example.org;2020-01-01;Analista;7656.45;
15;Brenda Moraes;xcastro@example.org;2000-01-20;Analista;9912.39;
16;Felipe da Conceição;vianajoao-miguel@example.net;1999-03-23;Analista;6124.44;
17;Lara Jesus;thiago28@example.com;2014-05-05;Diretor;9663.84;
18;Davi Luiz Nunes;nunesevelyn@example.com;1997-01-22;Gerente;8585.89;
19;Luiza Almeida;wda-rosa@example.net;1998-11-20;Gerente;9601.93;
20;Valentina Rodrigues;alicemartins@example.org;2013-05-26;Analista;7324.8;
21;Ryan Nascimento;clarice65@example.net;2021-08-13;Analista;8172.64;
22;Kaique Correia;danielduarte@example.org;1993-02-04;Gerente;7126.15;
23;Rebeca Gonçalves;diogo35@example.com;2018-06-17;Diretor;8494.71;
24;Alice Melo;julia76@example.com;1994-06-23;Analista;5970.71;
25;Valentina Farias;pda-mata@example.com;2004-12-29;Analista;6322.22;
26;Thiago Mendes;nduarte@example.net;2009-03-27;Gerente;5221.50;
27;Sabrina Costela;lais10@example.com;2008-12-27;Diretor;8055.46;
28;João Guilherme Souza;emanuellaviana@example.net;2019-02-05;Analista;9844.91;
29;Felipe Sales;almeidarafaela@example.org;2008-04-12;Diretor;9379.68;
30;Enzo Gabriel Campos;stellarocha@example.net;2003-02-25;Analista;5660.48;
31;Vitor Hugo Moura;ycardoso@example.net;2000-08-08;Gerente;7786.80;
32;Lorena Ferreira;pintocaue@example.net;2021-04-17;Gerente;7923.17;
33;Antônio Rocha;gabrielpereira@example.net;1996-05-07;Analista;9375.7;
34;Alícia Melo;ocardoso@example.org;1997-07-22;Diretor;8637.47;
35;Stella Farias;gomeseduarda@example.com;2010-07-18;Gerente;7339.92;
36;Enrico Martins;julia59@example.net;2011-04-09;Gerente;9850.6;
37;Cecília Costela;ida-cunha@example.net;2002-06-03;Analista;7552.68;
38;Vitor Gabriel da Conceição;amoraes@example.com;2003-11-19;Diretor;6226.18;
39;Agatha Silveira;eloahcardoso@example.org;2017-09-05;Gerente;8775.39;
40;Isabelly Santos;martinsnicolas@example.com;1996-02-12;Gerente;8817.71;
41;Yago Nunes;jjesus@example.org;2004-04-19;Gerente;9313.63;
42;Giovanna Melo;teixeirakaique@example.net;2005-11-06;Analista;6914.51;
43;Laís Rodrigues;benjaminpereira@example.net;2020-01-13;Diretor;9392.64;
44;Gabriela Almeida;garaujo@example.org;2016-07-06;Gerente;5362.87;
