Codigo; Nome; Email; Data; Cargo; Salario
1;Juan Moreira;vitor-gabrielcostela@example.org;1993-05-13;Gerente;9305.87;
2;Vitor Hugo Fernandes;stephanycavalcanti@example.com;2021-06-10;Diretor;9354.0;
3;João Gabriel Porto;afernandes@example.com;1996-06-05;Diretor;7668.42;
4;Bárbara Ribeiro;pintopedro@example.net;2016-12-02;Gerente;6239.43;
5;Luiz Gustavo da Cruz;luiz-felipe67@example.net;2013-08-05;Diretor;5408.25;
6;Thiago Cunha;ramosthomas@example.net;2018-06-26;Analista;7106.82;
7;Joana Lima;monteirofernanda@example.net;2018-11-11;Diretor;8201.88;
8;Beatriz Campos;danilo22@example.org;2020-07-02;Diretor;6774.85;
9;Helena Porto;alexandredias@example.org;2004-07-02;Diretor;5078.73;
10;Gustavo Henrique da Rosa;melissa11@example.net;2011-01-03;Diretor;6021.21;
11;Clarice Barros;xlopes@example.com;1998-06-09;Gerente;5913.59;
12;Murilo Moreira;diasrafaela@example.net;2021-07-26;Gerente;6865.77;
13;Júlia Oliveira;mvieira@example.org;1999-06-23;Diretor;6724.5;
14;Marcela Martins;garagao@example.net;2017-10-22;Gerente;7110.83;
15;Vitor Gabriel da Cruz;ana-julia19@example.com;2002-05-02;Diretor;9896.24;
16;Julia Martins;camilacardoso@example.org;2020-03-03;Gerente;6550.63;
17;Lorena Pires;joao-felipelopes@example.com;2017-01-16;Analista;8782.10;
18;Julia da Rosa;jesusalana@example.org;2007-09-16;Gerente;5024.10;
19;Maitê da Mata;moraesstella@example.net;2006-06-08;Analista;6578.77;
20;Maria Vitória da Mata;acastro@example.com;2012-12-09;Analista;9133.53;
21;Camila Silva;catarina91@example.com;2021-08-07;Analista;5878.18;
22;Henrique da Conceição;milena18@example.org;2000-07-08;Diretor;9066.40;
23;Levi Freitas;vitor-hugo55@example.com;2022-01-13;Analista;5757.35;
24;Mariana Campos;pcunha@example.net;2020-11-12;Analista;9742.20;
25;Alice Freitas;kaiquemendes@example.org;1998-04-07;Gerente;7874.17;
26;Cecília Pereira;da-rosaotavio@example.com;2018-05-04;Diretor;7047.30;
27;Lucas Sales;caroline21@example.org;2012-06-23;Gerente;8939.51;
28;Ana Carolina Santos;caldeiragabriela@example.org;2009-07-04;Diretor;7188.64;
29;Nicole Castro;vianakevin@example.com;2011-10-02;Gerente;9830.69;
30;Erick Fernandes;bernardo66@example.com;2006-03-14;Analista;6187.0;
31;Eduarda Duarte;fernandesemanuelly@example.com;1998-03-21;Gerente;9336.17;
32;Rafaela da Mata;da-rochapedro-henrique@example.com;1992-11-21;Analista;7251.51;
33;Laura Silva;melissa30@example.org;2000-01-10;Diretor;8606.19;
34;Catarina Nascimento;vitormonteiro@example.com;2016-07-30;Analista;7516.31;
35;Emilly Ramos;mendesmariana@example.org;2018-01-08;Diretor;5494.99;
36;Rafael Silva;wda-luz@example.com;2010-06-26;Diretor;5517.42;
37;Enrico Dias;joao-vitor33@example.org;1995-10-05;Gerente;8609.77;
38;Bárbara Moreira;nascimentoleticia@example.net;2004-06-22;Diretor;8224.95;
39;Davi Luiz Novaes;tmoreira@example.org;1999-12-14;Gerente;6008.41;
40;Sophia Barbosa;anthonycardoso@example.net;2015-05-29;Gerente;5865.47;
41;Bruno Rodrigues;stellada-mata@example.com;2019-07-03;Gerente;8812.6;
42;Luiz Henrique Monteiro;da-pazagatha@example.com;1996-11-30;Diretor;7315.93;
43;Vitor Hugo Dias;nunessabrina@example.net;2008-11-15;Diretor;7796.59;
44;Rafaela Carvalho;rebecanogueira@example.com;2005-08-14;Diretor;7115.24;
45;Samuel Vieira;diegoda-rocha@example.org;2019-12-21;Diretor;9788.79;
46;Nicole Nunes;hfarias@example.net;2011-10-20;Analista;9472.11;
47;Paulo das Neves;manuela84@example.com;2009-06-18;Diretor;7641.37;
48;Luigi Ferreira;luiz-henriquerocha@example.com;2012-06-16;Gerente;6869.54;
49;Sophia Monteiro;pereiragustavo-henrique@example.net;2004-01-10;Analista;9043.35;
50;Isis Monteiro;vieirapietra@example.com;2021-12-05;Analista;8971.13;
51;Mirella Fernandes;freitaslarissa@example.org;2014-06-22;Gerente;5868.99;
52;Cauã da Mota;maysa41@example.com;2004-11-08;Gerente;8107.56;
53;Luiz Otávio Cardoso;kcardoso@example.org;1997-03-04;Diretor;5962.12;
54;Augusto Peixoto;vda-luz@example.org;2015-12-17;Gerente;6484.41;
55;Theo Novaes;ynunes@example.com;2020-05-05;Analista;9686.58;
56;Isabella Teixeira;luana37@example.net;2016-04-24;Analista;9774.41;
57;Heitor Nascimento;ana-julia40@example.org;2011-08-09;Analista;5981.51;
58;Heitor Costa;pda-mota@example.org;2014-01-06;Analista;7076.38;
59;Milena Rocha;waragao@example.net;2009-05-10;Gerente;5277.22;
60;João Vitor Nunes;matheusbarbosa@example.com;1996-09-17;Analista;7944.41;
61;Elisa Silveira;marcelo94@example.net;1997-08-07;Diretor;6042.8;
62;Alícia Cardoso;inovaes@example.org;2011-05-13;Gerente;6063.28;
63;Gabriela Oliveira;vitoria63@example.org;1996-11-13;Diretor;5960.5;
64;Melissa Freitas;fernandasantos@example.org;2007-01-05;Gerente;5496.71;
65;Vinicius Alves;kcarvalho@example.com;2001-09-01;Diretor;7446.53;
66;Lavínia Barbosa;luiz-miguelsantos@example.com;1997-11-04;Diretor;8602.96;
67;Laís Farias;carolinemartins@example.net;2014-10-25;Diretor;8540.5;
68;Leonardo Monteiro;enrico76@example.net;2005-12-01;Gerente;8798.58;
69;Ana Lívia Santos;erick91@example.com;2012-06-22;Diretor;9924.36;
70;Isis Vieira;speixoto@example.net;2012-07-22;Gerente;6298.56;
71;Letícia Fogaça;pietra48@example.net;2017-02-02;Diretor;6604.20;
72;Amanda Barros;maria-claracardoso@example.com;2014-01-04;Gerente;9206.9;
73;Heloísa Duarte;maysa87@example.org;2006-11-24;Analista;6008.66;
74;Leonardo Ribeiro;nrezende@example.net;2010-07-20;Analista;7066.94;
75;Levi da Paz;giovannasantos@example.net;2022-02-04;Diretor;8306.91;
76;Enzo Costa;dsilveira@example.net;2002-07-23;Diretor;6948.0;
77;Bernardo Silva;zda-rosa@example.com;2016-08-10;Analista;9426.73;
78;Nathan Martins;da-motavitor@example.com;2018-10-28;Gerente;9228.55;
79;Pietro Novaes;emanuelly47@example.com;2010-06-21;Diretor;5414.55;
80;Maria Julia Cunha;ofogaca@example.com;2003-07-14;Diretor;5670.97;
81;João Dias;sophie94@example.net;2017-07-23;Gerente;8050.5;
82;Pietro da Rosa;da-cruzana-carolina@example.net;1996-11-20;Diretor;8403.42;
