Id;Parente;Conciliacao;Regra;Status;Codigo;Nome;Email;Data;Cargo;Salario;Nome (Diferenca);Email (Diferenca);Data (Diferenca);Cargo (Diferenca);Salario (Diferenca);
1;1;Volume 10k;Agencia/Conta;Matched;1;Juan Moreira;vitor-gabrielcostela@example.org;1993-05-13;Gerente;9305.87;;;;;;
2;2;Volume 10k;Agencia/Conta;Matched;2;Vitor Hugo Fernandes;stephanycavalcanti@example.com;2021-06-10;Diretor;9354.0;;;;;;
3;3;Volume 10k;Agencia/Conta;Matched;3;Jo�o Gabriel Porto;afernandes@example.com;1996-06-05;Diretor;7668.42;;;;;;
4;4;Volume 10k;Agencia/Conta;Matched;4;B�rbara Ribeiro;pintopedro@example.net;2016-12-02;Gerente;6239.43;;;;;;
5;5;Volume 10k;Agencia/Conta;Matched;5;Luiz Gustavo da Cruz;luiz-felipe67@example.net;2013-08-05;Diretor;5408.25;;;;;;
6;6;Volume 10k;Agencia/Conta;Matched;6;Thiago Cunha;ramosthomas@example.net;2018-06-26;Analista;7106.82;;;;;;
7;7;Volume 10k;Agencia/Conta;Matched;7;Joana Lima;monteirofernanda@example.net;2018-11-11;Diretor;8201.88;;;;;;
8;8;Volume 10k;Agencia/Conta;Matched;8;Beatriz Campos;danilo22@example.org;2020-07-02;Diretor;6774.85;;;;;;
9;9;Volume 10k;Agencia/Conta;Matched;9;Helena Porto;alexandredias@example.org;2004-07-02;Diretor;5078.73;;;;;;
10;10;Volume 10k;Agencia/Conta;Matched;10;Gustavo Henrique da Rosa;melissa11@example.net;2011-01-03;Diretor;6021.21;;;;;;
11;11;Volume 10k;Agencia/Conta;Matched;11;Clarice Barros;xlopes@example.com;1998-06-09;Gerente;5913.59;;;;;;
12;12;Volume 10k;Agencia/Conta;Matched;12;Murilo Moreira;diasrafaela@example.net;2021-07-26;Gerente;6865.77;;;;;;
13;13;Volume 10k;Agencia/Conta;Matched;13;J�lia Oliveira;mvieira@example.org;1999-06-23;Diretor;6724.5;;;;;;
14;14;Volume 10k;Agencia/Conta;Matched;14;Marcela Martins;garagao@example.net;2017-10-22;Gerente;7110.83;;;;;;
15;15;Volume 10k;Agencia/Conta;Matched;15;Vitor Gabriel da Cruz;ana-julia19@example.com;2002-05-02;Diretor;9896.24;;;;;;
16;16;Volume 10k;Agencia/Conta;Matched;16;Julia Martins;camilacardoso@example.org;2020-03-03;Gerente;6550.63;;;;;;
17;17;Volume 10k;Agencia/Conta;Matched;17;Lorena Pires;joao-felipelopes@example.com;2017-01-16;Analista;8782.1;;;;;;
18;18;Volume 10k;Agencia/Conta;Matched;18;Julia da Rosa;jesusalana@example.org;2007-09-16;Gerente;5024.1;;;;;;
19;19;Volume 10k;Agencia/Conta;Matched;19;Mait� da Mata;moraesstella@example.net;2006-06-08;Analista;6578.77;;;;;;
20;20;Volume 10k;Agencia/Conta;Matched;20;Maria Vit�ria da Mata;acastro@example.com;2012-12-09;Analista;9133.53;;;;;;
21;21;Volume 10k;Agencia/Conta;Matched;21;Camila Silva;catarina91@example.com;2021-08-07;Analista;5878.18;;;;;;
22;22;Volume 10k;Agencia/Conta;Matched;22;Henrique da Concei��o;milena18@example.org;2000-07-08;Diretor;9066.4;;;;;;
23;23;Volume 10k;Agencia/Conta;Matched;23;Levi Freitas;vitor-hugo55@example.com;2022-01-13;Analista;5757.35;;;;;;
24;24;Volume 10k;Agencia/Conta;Matched;24;Mariana Campos;pcunha@example.net;2020-11-12;Analista;9742.2;;;;;;
25;25;Volume 10k;Agencia/Conta;Matched;25;Alice Freitas;kaiquemendes@example.org;1998-04-07;Gerente;7874.17;;;;;;
26;26;Volume 10k;Agencia/Conta;Matched;26;Cec�lia Pereira;da-rosaotavio@example.com;2018-05-04;Diretor;7047.3;;;;;;
27;27;Volume 10k;Agencia/Conta;Matched;27;Lucas Sales;caroline21@example.org;2012-06-23;Gerente;8939.51;;;;;;
28;28;Volume 10k;Agencia/Conta;Matched;28;Ana Carolina Santos;caldeiragabriela@example.org;2009-07-04;Diretor;7188.64;;;;;;
29;29;Volume 10k;Agencia/Conta;Matched;29;Nicole Castro;vianakevin@example.com;2011-10-02;Gerente;9830.69;;;;;;
30;30;Volume 10k;Agencia/Conta;Matched;30;Erick Fernandes;bernardo66@example.com;2006-03-14;Analista;6187.0;;;;;;
31;31;Volume 10k;Agencia/Conta;Matched;31;Eduarda Duarte;fernandesemanuelly@example.com;1998-03-21;Gerente;9336.17;;;;;;
32;32;Volume 10k;Agencia/Conta;Matched;32;Rafaela da Mata;da-rochapedro-henrique@example.com;1992-11-21;Analista;7251.51;;;;;;
33;33;Volume 10k;Agencia/Conta;Matched;33;Laura Silva;melissa30@example.org;2000-01-10;Diretor;8606.19;;;;;;
34;34;Volume 10k;Agencia/Conta;Matched;34;Catarina Nascimento;vitormonteiro@example.com;2016-07-30;Analista;7516.31;;;;;;
35;35;Volume 10k;Agencia/Conta;Matched;35;Emilly Ramos;mendesmariana@example.org;2018-01-08;Diretor;5494.99;;;;;;
36;36;Volume 10k;Agencia/Conta;Matched;36;Rafael Silva;wda-luz@example.com;2010-06-26;Diretor;5517.42;;;;;;
37;37;Volume 10k;Agencia/Conta;Matched;37;Enrico Dias;joao-vitor33@example.org;1995-10-05;Gerente;8609.77;;;;;;
38;38;Volume 10k;Agencia/Conta;Matched;38;B�rbara Moreira;nascimentoleticia@example.net;2004-06-22;Diretor;8224.95;;;;;;
39;39;Volume 10k;Agencia/Conta;Matched;39;Davi Luiz Novaes;tmoreira@example.org;1999-12-14;Gerente;6008.41;;;;;;
40;40;Volume 10k;Agencia/Conta;Matched;40;Sophia Barbosa;anthonycardoso@example.net;2015-05-29;Gerente;5865.47;;;;;;
41;41;Volume 10k;Agencia/Conta;Matched;41;Bruno Rodrigues;stellada-mata@example.com;2019-07-03;Gerente;8812.6;;;;;;
42;42;Volume 10k;Agencia/Conta;Matched;42;Luiz Henrique Monteiro;da-pazagatha@example.com;1996-11-30;Diretor;7315.93;;;;;;
43;43;Volume 10k;Agencia/Conta;Matched;43;Vitor Hugo Dias;nunessabrina@example.net;2008-11-15;Diretor;7796.59;;;;;;
44;44;Volume 10k;Agencia/Conta;Matched;44;Rafaela Carvalho;rebecanogueira@example.com;2005-08-14;Diretor;7115.24;;;;;;
45;45;Volume 10k;Agencia/Conta;Matched;45;Samuel Vieira;diegoda-rocha@example.org;2019-12-21;Diretor;9788.79;;;;;;
46;46;Volume 10k;Agencia/Conta;Matched;46;Nicole Nunes;hfarias@example.net;2011-10-20;Analista;9472.11;;;;;;
47;47;Volume 10k;Agencia/Conta;Matched;47;Paulo das Neves;manuela84@example.com;2009-06-18;Diretor;7641.37;;;;;;
48;48;Volume 10k;Agencia/Conta;Matched;48;Luigi Ferreira;luiz-henriquerocha@example.com;2012-06-16;Gerente;6869.54;;;;;;
49;49;Volume 10k;Agencia/Conta;Matched;49;Sophia Monteiro;pereiragustavo-henrique@example.net;2004-01-10;Analista;9043.35;;;;;;
50;50;Volume 10k;Agencia/Conta;Matched;50;Isis Monteiro;vieirapietra@example.com;2021-12-05;Analista;8971.13;;;;;;
51;51;Volume 10k;Agencia/Conta;Matched;51;Mirella Fernandes;freitaslarissa@example.org;2014-06-22;Gerente;5868.99;;;;;;
