Id;Parente;Conciliação;Regra;Status;Nome;Email;Data;Cargo;Salario;Nome (Diferença);Email (Diferença);Data (Diferença);Cargo (Diferença);Salario (Diferença)
1;Volume 10k;Batimento Total;Batido;1;João Gabriel Carvalho;danilo34@example.com;2020-09-23;Diretor;6989.99;;;;;
2;Volume 10k;Batimento Total;Batido;2;Thiago Correia;joao-gabriel48@example.net;2006-12-15;Diretor;5020.74;;;;;
3;Volume 10k;Batimento Total;Batido;3;Mirella Teixeira;ujesus@example.net;1994-10-08;Gerente;8483.44;;;;;
4;Volume 10k;Batimento Total;Batido;4;Pedro Henrique Costa;diogonunes@example.net;2016-11-17;Analista;9723.51;;;;;
5;Volume 10k;Batimento Total;Batido;5;Helena Azevedo;carolineda-mota@example.com;2007-03-02;Diretor;9765.6;;;;;
6;Volume 10k;Batimento Total;Batido;6;Mariane Cardoso;moreirarafaela@example.net;2004-10-17;Analista;7597.8;;;;;
7;Volume 10k;Batimento Total;Batido;7;Danilo Souza;ssilveira@example.com;1993-08-21;Diretor;7831.8;;;;;
8;Volume 10k;Batimento Total;Batido;8;Marina da Mota;maria-fernanda46@example.com;2000-11-03;Gerente;5509.98;;;;;
9;Volume 10k;Batimento Total;Batido;9;Vicente Santos;vda-conceicao@example.org;2010-12-17;Diretor;7789.75;;;;;
10;Volume 10k;Batimento Total;Batido;10;Melissa Vieira;vianagabriel@example.net;2003-08-08;Gerente;7234.25;;;;;
11;Volume 10k;Batimento Total;Batido;11;Lorenzo Cunha;esthercaldeira@example.com;1993-02-04;Diretor;7850.44;;;;;
12;Volume 10k;Batimento Total;Batido;12;Heloísa Souza;danilomoura@example.org;2007-07-25;Diretor;6581.49;;;;;
13;Volume 10k;Batimento Total;Batido;13;Marcela Ferreira;natalianascimento@example.org;2014-04-24;Gerente;8236.22;;;;;
14;Volume 10k;Batimento Total;Batido;14;Davi Rodrigues;renanfreitas@example.org;2020-01-01;Analista;7656.45;;;;;
15;Volume 10k;Batimento Total;Batido;15;Brenda Moraes;xcastro@example.org;2000-01-20;Analista;9912.39;;;;;
16;Volume 10k;Batimento Total;Batido;16;Felipe da Conceição;vianajoao-miguel@example.net;1999-03-23;Analista;6124.44;;;;;
17;Volume 10k;Batimento Total;Batido;17;Lara Jesus;thiago28@example.com;2014-05-05;Diretor;9663.84;;;;;
18;Volume 10k;Batimento Total;Batido;18;Davi Luiz Nunes;nunesevelyn@example.com;1997-01-22;Gerente;8585.89;;;;;
19;Volume 10k;Batimento Total;Batido;19;Luiza Almeida;wda-rosa@example.net;1998-11-20;Gerente;9601.93;;;;;
20;Volume 10k;Batimento Total;Batido;20;Valentina Rodrigues;alicemartins@example.org;2013-05-26;Analista;7324.8;;;;;
21;Volume 10k;Batimento Total;Batido;21;Ryan Nascimento;clarice65@example.net;2021-08-13;Analista;8172.64;;;;;
22;Volume 10k;Batimento Total;Batido;22;Kaique Correia;danielduarte@example.org;1993-02-04;Gerente;7126.15;;;;;
23;Volume 10k;Batimento Total;Batido;23;Rebeca Gonçalves;diogo35@example.com;2018-06-17;Diretor;8494.71;;;;;
